index,English,Chinese<br>(中国大陆),Chinese<br>(中國香港),Chinese<br>(中國台灣),Japanese<br>(日本語),Korean<br>(한국어)
0,<span lang='en'>computer programming<br>programming</span>,<span lang='zh-cn'><ruby>计算机<rt>jì suàn jī</rt></ruby> <ruby>编程<rt>biān chéng</rt></ruby><br><ruby>程序<rt>chéng xù</rt></ruby> <ruby>设计<rt>shè jì</rt></ruby></span>,<span lang='zh-hk'><ruby>電腦<rt>din6 nou5</rt></ruby> <ruby>程式<rt>cing4 sik1</rt></ruby> <ruby>編寫<rt>pin1 se2</rt></ruby><br><ruby>程式<rt>cing4 sik1</rt></ruby> <ruby>編寫<rt>pin1 se2</rt></ruby></span>,<span lang='zh-tw'><ruby>電腦<rt>ㄉㄧㄢˋ ㄋㄠˇ</rt></ruby> <ruby>程式<rt>ㄔㄥˊ ㄕˋ</rt></ruby> <ruby>設計<rt>ㄕㄜˋ ㄐㄧˋ</rt></ruby><br><ruby>程式<rt>ㄔㄥˊ ㄕˋ</rt></ruby> <ruby>設計<rt>ㄕㄜˋ ㄐㄧˋ</rt></ruby></span>,<span lang='ja'>コンピュータ プログラミング<br>プログラミング</span>,<span lang='ko'>컴퓨터 프로그래밍<br>프로그래밍</span>
1,<span lang='en'>bug</span>,<span lang='zh-cn'><ruby>漏洞<rt>lòu dòng</rt></ruby><br><ruby>错误<rt>cuò wù</rt></ruby></span>,<span lang='zh-hk'><ruby>錯誤<rt>co3 ng6</rt></ruby></span>,<span lang='zh-tw'><ruby>錯誤<rt>ㄘㄨㄛˋ ㄨˋ</rt></ruby></span>,<span lang='ja'>バグ</span>,<span lang='ko'>버그</span>
2,<span lang='en'>debug</span>,<span lang='zh-cn'><ruby>调<rt>tiáo</rt></ruby><ruby>试<rt>shì</rt></ruby></span>,<span lang='zh-hk'><ruby>除<rt>ceoi4</rt></ruby><ruby>錯<rt>co3</rt></ruby></span>,<span lang='zh-tw'><ruby>除<rt>ㄔㄨˊ</rt></ruby><ruby>錯<rt>ㄘㄨㄛˋ</rt></ruby><br><ruby>偵<rt>ㄓㄣ</rt></ruby><ruby>錯<rt>ㄘㄨㄛˋ</rt></ruby></span>,<span lang='ja'>デバッグ</span>,<span lang='ko'>디버그</span>
3,<span lang='en'>source code</span>,<span lang='zh-cn'><ruby>源<rt>yuán</rt></ruby> <ruby>代码<rt>dài mǎ</rt></ruby><br><ruby>源<rt>yuán</rt></ruby> <ruby>程序<rt>chéng xù</rt></ruby></span>,<span lang='zh-hk'><ruby>原始<rt>jyun4 ci2</rt></ruby> <ruby>碼<rt>maa5</rt></ruby><br><ruby>源<rt>jyun4</rt></ruby> <ruby>代碼<rt>doi6 maa5</rt></ruby></span>,<span lang='zh-tw'><ruby>原始<rt>ㄩㄢˊ ㄕˇ</rt></ruby> <ruby>碼<rt>ㄇㄚˇ</rt></ruby></span>,<span lang='ja'>ソースコード</span>,<span lang='ko'>소스 코드<br><ruby>原始<rt>원 시</rt></ruby> 코드</span>
4,<span lang='en'>flowchart</span>,<span lang='zh-cn'><ruby>流程<rt>liú chéng</rt></ruby><ruby>图<rt>tú</rt></ruby></span>,<span lang='zh-hk'><ruby>流程<rt>lau4 cing4</rt></ruby><ruby>圖<rt>tou4</rt></ruby></span>,<span lang='zh-tw'><ruby>流程<rt>ㄌㄧㄡˊ ㄔㄥˊ</rt></ruby><ruby>圖<rt>ㄊㄨˊ</rt></ruby></span>,<span lang='ja'>フローチャート<br><ruby>流れ<rt>なが れ</rt></ruby><ruby>図<rt>ず</rt></ruby></span>,<span lang='ko'>플로 차트<br><ruby>順序<rt>순 서</rt></ruby><ruby>圖<rt>도</rt></ruby><br>흐름<ruby>圖<rt>도</rt></ruby></span>
5,<span lang='en'>variable</span>,<span lang='zh-cn'><ruby>变<rt>biàn</rt></ruby><ruby>量<rt>liàng</rt></ruby></span>,<span lang='zh-hk'><ruby>變<rt>bin3</rt></ruby><ruby>數<rt>sou3</rt></ruby></span>,<span lang='zh-tw'><ruby>變<rt>ㄅㄧㄢˋ</rt></ruby><ruby>數<rt>ㄕㄨˋ</rt></ruby></span>,<span lang='ja'><ruby>変<rt>へん</rt></ruby><ruby>数<rt>すう</rt></ruby></span>,<span lang='ko'><ruby>變<rt>변</rt></ruby><ruby>數<rt>수</rt></ruby></span>
6,<span lang='en'>constant</span>,<span lang='zh-cn'><ruby>常<rt>cháng</rt></ruby><ruby>量<rt>liàng</rt></ruby></span>,<span lang='zh-hk'><ruby>常<rt>soeng4</rt></ruby><ruby>數<rt>sou3</rt></ruby></span>,<span lang='zh-tw'><ruby>常<rt>ㄔㄤˊ</rt></ruby><ruby>數<rt>ㄕㄨˋ</rt></ruby></span>,<span lang='ja'><ruby>定<rt>てい</rt></ruby><ruby>数<rt>すう</rt></ruby></span>,<span lang='ko'><ruby>常<rt>상</rt></ruby><ruby>數<rt>수</rt></ruby></span>
7,<span lang='en'>value</span>,<span lang='zh-cn'><ruby>値<rt>zhí</rt></ruby></span>,<span lang='zh-hk'><ruby>値<rt>zik6</rt></ruby></span>,<span lang='zh-tw'><ruby>値<rt>ㄓˊ</rt></ruby></span>,<span lang='ja'><ruby>値<rt>あたい</rt></ruby></span>,<span lang='ko'>값</span>
8,<span lang='en'>function</span>,<span lang='zh-cn'><ruby>函<rt>hán</rt></ruby><ruby>数<rt>shù</rt></ruby></span>,<span lang='zh-hk'><ruby>函<rt>haam4</rt></ruby><ruby>數<rt>sou3</rt></ruby></span>,<span lang='zh-tw'><ruby>函<rt>ㄏㄢˊ</rt></ruby><ruby>數<rt>ㄕㄨˋ</rt></ruby><br><ruby>函<rt>ㄏㄢˊ</rt></ruby><ruby>式<rt>ㄕˋ</rt></ruby></span>,<span lang='ja'><ruby>関<rt>かん</rt></ruby><ruby>数<rt>すう</rt></ruby></span>,<span lang='ko'><ruby>函<rt>함</rt></ruby><ruby>數<rt>수</rt></ruby></span>
9,<span lang='en'>return value</span>,<span lang='zh-cn'><ruby>返回<rt>fǎn huí</rt></ruby><ruby>値<rt>zhí</rt></ruby></span>,<span lang='zh-hk'><ruby>傳回<rt>cyun4 wui4</rt></ruby><ruby>値<rt>zik6</rt></ruby></span>,<span lang='zh-tw'><ruby>傳回<rt>ㄔㄨㄢˊ ㄏㄨㄟˊ</rt></ruby><ruby>値<rt>ㄓˊ</rt></ruby><br><ruby>回傳<rt>ㄏㄨㄟˊ ㄔㄨㄢˊ</rt></ruby><ruby>値<rt>ㄓˊ</rt></ruby></span>,<span lang='ja'><ruby>戻り<rt>もど り</rt></ruby><ruby>値<rt>ち</rt></ruby><br><ruby>返り<rt>かえ り</rt></ruby><ruby>値<rt>ち</rt></ruby><br><ruby>返却<rt>へん きゃく</rt></ruby><ruby>値<rt>ち</rt></ruby><br>リターン<ruby>値<rt>ち</rt></ruby></span>,<span lang='ko'><ruby>返還<rt>반 환</rt></ruby>값<br>리턴값</span>
