index,单词,正确发音（英音）,正确发音（美音）,错误发音
0,access,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=access&type=1' type='audio/ogg'></audio><code>/'ækses/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=access&type=2' type='audio/ogg'></audio><code>/ˈækses/</code></div>,:x: `/ək'ses/`
1,Adobe,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Adobe&type=1' type='audio/ogg'></audio><code>/ə'dəʊbi/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Adobe&type=2' type='audio/ogg'></audio><code>/ə'dəʊbi/</code></div>,:x: `/əˈdub/`
2,admin,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=admin&type=1' type='audio/ogg'></audio><code>/'ædmɪn/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=admin&type=2' type='audio/ogg'></audio><code>/ˈædmɪn/</code></div>,:x: `/ɜ:d'mɪn/`
3,adversarial,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=adversarial&type=1' type='audio/ogg'></audio><code>/ˌædvəˈseəriəl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=adversarial&type=2' type='audio/ogg'></audio><code>/ˌædvərˈseriəl/</code></div>,:x: `/ədˈvɜːrsəriəl/`
4,agile,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=agile&type=1' type='audio/ogg'></audio><code>/'ædʒaɪl/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=agile&type=2' type='audio/ogg'></audio><code>/ˈædʒl/</code></div>,:x: `/ə'dʒaɪl/`
5,amazon,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=amazon&type=1' type='audio/ogg'></audio><code>/'æməzən/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=amazon&type=2' type='audio/ogg'></audio><code>/ˈæməzɑːn/</code></div>,:x: `/'əmeizən/`
6,analogy,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=analogy&type=1' type='audio/ogg'></audio><code>/əˈnælədʒi/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=analogy&type=2' type='audio/ogg'></audio><code>/əˈnælədʒi/</code></div>,:x: `/ænə'lɒdʒi/`
7,Angular,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Angular&type=1' type='audio/ogg'></audio><code>/'æŋgjʊlə/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Angular&type=2' type='audio/ogg'></audio><code>/ˈæŋɡjələr/</code></div>,:x: `/'æŋɡələ/`
8,AJAX,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=AJAX&type=1' type='audio/ogg'></audio><code>/'eidʒæks/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=AJAX&type=2' type='audio/ogg'></audio><code>/'eidʒæks/</code></div>,:x: `/ə'dʒʌks/`
9,alias,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=alias&type=1' type='audio/ogg'></audio><code>/ˈeɪliəs/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=alias&type=2' type='audio/ogg'></audio><code>/ˈeɪliəs/</code></div>,:x: `/ə'lais/`
10,align,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=align&type=1' type='audio/ogg'></audio><code>/əˈlaɪn/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=align&type=2' type='audio/ogg'></audio><code>/əˈlaɪn/</code></div>,:x: `/ə'lidʒen/`
11,Apache,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Apache&type=1' type='audio/ogg'></audio><code>/ə'pætʃɪ/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=Apache&type=2' type='audio/ogg'></audio><code>/əˈpætʃi/</code></div>,:x: `/ʌpʌtʃ/`
12,app,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=app&type=1' type='audio/ogg'></audio><code>/æp/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=app&type=2' type='audio/ogg'></audio><code>/æp/</code></div>,:x: `/eipi'pi/`
13,archive,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=archive&type=1' type='audio/ogg'></audio><code>/'ɑːkaɪv/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=archive&type=2' type='audio/ogg'></audio><code>/'ɑːkaɪv/</code></div>,:x: `/'ətʃɪv/`
14,array,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=array&type=1' type='audio/ogg'></audio><code>/ə'rei/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=array&type=2' type='audio/ogg'></audio><code>/əˈreɪ/</code></div>,:x: `/æ'rei/`
15,ASCII,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=ascii&type=1' type='audio/ogg'></audio><code>/'æski/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=ascii&type=2' type='audio/ogg'></audio><code>/ˈæski/</code></div>,:x: `/ɑːsk/`
16,aspect,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=aspect&type=1' type='audio/ogg'></audio><code>/'æspekt/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=aspect&type=2' type='audio/ogg'></audio><code>/ˈæspekt/</code></div>,:x: `/ə'spekt/`
17,async,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=async&type=1' type='audio/ogg'></audio><code>/əˈsɪŋk/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=async&type=2' type='audio/ogg'></audio><code>/æˈsɪŋk/</code></div>,:x: `/'æsɪŋk/`
18,avatar,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=avatar&type=1' type='audio/ogg'></audio><code>/'ævətɑː/</code></div>,<div class='audio-player'><div class='play-button'>:loudspeaker:</div><audio preload='auto'><source src='https://dict.youdao.com/dictvoice?audio=avatar&type=2' type='audio/ogg'></audio><code>/ˈævətɑːr/</code></div>,:x: `/ə'vʌtɑ/`
